,link_item,title,price,index_id,discount_idx,discount_percent,starsReview_idx,stars_review,soldProduct_idx,sold_product,location,brand_name,shop_name
0,https://www.lazada.vn/products/camera-ip-wifi-yoosee-3-rau-new-2022-xoay-360-do-dam-thoai-2-chieu-bao-dong-chong-trom-camera-gia-dinh-nho-gon-camera-an-ninh-giam-sat-wifi-camera-wifi-yoosee-i1856444426.html,CAMERA IP WIFI YOOSEE 3 RÂU New 2022 - XOAY 360 ĐỘ - ĐÀM THOẠI 2 CHIỀU - BÁO ĐỘNG CHỐNG TRỘM-CAMERA GIA ĐÌNH NHỎ GỌN-CAMERA AN NINH GIÁM SÁT WIFI-CAMERA WIFI YOOSEE,213.000 ₫,1,1.0,47%off,1.0,(1023),1.0,"5,656 Đã bán",Hồ Chí Minh,YooSee,khosihoanggia
1,https://www.lazada.vn/products/tro-gia-camera-wifi-ezviz-c6n-40mp-hoac-c6n-20mp-xoay-360d-fullbox-chinh-hang-100-i2006817391.html,"[Trợ giá] Camera Wifi Ezviz C6N 4.0MP Hoặc C6N 2.0MP, Xoay 360đ - Fullbox chính hãng 100%",494.000 ₫,2,2.0,29%off,2.0,(71),2.0,699 Đã bán,Đà Nẵng,YooSee,Camera a tân
2,https://www.lazada.vn/products/camera-5g-ngoai-troi-chong-nuoc-yoo-see-toan-canh-360-do-fnkvision-khong-day-sieu-ro-net-bao-ve-gia-dinh-qua-dien-thoai-i2016021056.html,"Camera 5G ngoài trời chống nước Yoo see toàn cảnh 360 độ Fnkvision, không dây siêu rõ nét, bảo vệ gia đình qua điện thoại",329.000 ₫,3,3.0,49%off,3.0,(960),3.0,"4,845 Đã bán",Hồ Chí Minh,FNKvision,FNKvision-1
3,https://www.lazada.vn/products/camera-wifi-yoosee-hd-1080p-kieu-dang-doc-dao-xoay-360-do-ho-tro-hong-ngoai-va-flash-mau-quay-dem-i829528726.html,"Camera wifi YOOSEE HD 1080p , kiểu dáng độc đáo, xoay 360 độ, hỗ trợ hồng ngoại và flash màu quay đêm",205.000 ₫,4,,,,,,,Hồ Chí Minh,YooSee,camerayoosee88
4,https://www.lazada.vn/products/ban-chay-camera-wifi-tp-link-tapo-c200-c210-smart-ir-full-hd-1080p-hang-chinh-hang-i406612346.html,[Bán Chạy] Camera Wifi TP-Link Tapo C200 / C210 Smart IR Full HD 1080P - Hàng Chính Hãng,498.000 ₫,5,5.0,45%off,5.0,(2011),5.0,"9,999+ Đã bán",Hồ Chí Minh,TP-Link,TP-Link
5,https://www.lazada.vn/products/camera-yoosee-fhd-xoay-360-ban-dem-co-mau-new-2023-thiet-ke-gon-gang-khong-enten-van-bat-song-tot-i2093117688.html,Camera yoosee FHD Xoay 360 Ban đêm có màu new 2023 - thiết kế gọn gàng - không enten vẫn bắt sóng tốt,245.000 ₫,6,6.0,39%off,6.0,(113),6.0,754 Đã bán,Hà Nội,Ezviz,Shop Thiết Bị Thông Minh Đà Nẵng 24H
6,https://www.lazada.vn/products/fnkvision-camera-ip-wifi-yoosee-phien-ban-viet-50mpx-full-hd-2k-new-2023-quay-dem-sieu-net-xoay-360-do-theo-doi-doi-tuong-i2033926271.html,【FNKvision】 CAMERA IP WIFI YOOSEE PHIÊN BẢN VIỆT 5.0Mpx Full HD 2K New 2023 - QUAY ĐÊM SIÊU NÉT - XOAY 360 ĐỘ - THEO DỖI ĐỐI TƯỢNG,229.000 ₫,7,7.0,54%off,7.0,(507),7.0,"2,274 Đã bán",Hồ Chí Minh,IMOU,Shop Thiết Bị Thông Minh Đà Nẵng 24H
7,https://www.lazada.vn/products/fnkvision-camera-ngoai-troi-ptz-xoay-360-chong-nuoc-yoosee-full-hd-5mp-16-led-ban-dem-tro-sang-dam-thoai-2-chieu-i2031368297.html,[FNKvision] Camera Ngoài Trời PTZ Xoay 360° Chống Nước YooSee Full HD 5MP 16 Led Ban Đêm Trợ Sáng Đàm Thoại 2 Chiều,346.000 ₫,8,8.0,47%off,8.0,(733),8.0,"2,880 Đã bán",Hồ Chí Minh,FNKvision,FNKvision-2
8,https://www.lazada.vn/products/camera-ezviz-chinh-hang-i1709424706.html,Camera Ezviz chính hãng,450.000 ₫,9,,,,,,,Đà Nẵng,FNKvision,FNKvision-2
9,https://www.lazada.vn/products/camera-wifi-imou-c22ep-hoac-c22sp-dam-thoai-2-chieu-bao-dong-chong-trom-chinh-hang-fullbox-100-i1237135825.html,"Camera Wifi Imou C22EP Hoặc C22SP, đàm thoại 2 chiều, báo động chống trộm, Chính hãng Fullbox 100%",434.000 ₫,10,10.0,11%off,10.0,(377),10.0,"2,306 Đã bán",Đà Nẵng,No Brand,Camera Yoosee Super Guard
