,link_item,title,price,index_id,discount_idx,discount_percent,starsReview_idx,stars_review,soldProduct_idx,sold_product,location
0,https://www.lazada.vn/products/camera-wifi-ngoai-troi-imou-cruiser-se-2mp-i-ipcfep-i-dam-thoai-2-chieu-i-phat-hien-chuyen-dong-i-ip66-i2178045598.html,Camera Wifi ngoài trời Imou Cruiser SE+ (2MP) I IPC-S21FEP I Đàm thoại 2 chiều I Phát hiện chuyển động I IP66,1.278.000 ₫,1,1.0,44%off,1.0,(4),1.0,18 Đã bán,Hồ Chí Minh
1,https://www.lazada.vn/products/camera-imou-f42p-4m-2k-thu-am-goc-nhin-sieu-rong-wifi-ngoai-troi-chinh-hang-i1639998234.html,Camera IMOU F42P 4M 2K - Thu Âm- Góc Nhìn Siêu Rộng - Wifi Ngoài Trời Chính Hãng,889.000 ₫,2,2.0,50%off,2.0,(14),2.0,50 Đã bán,Đà Nẵng
2,https://www.lazada.vn/products/camera-ezviz-bc2-fhd-1080p-chay-bang-pin-dam-thoai-2-chieu-wifi-trong-nha-chinh-hang-i2183724922.html,Camera EZVIZ BC2 FHD 1080p Chạy Bằng Pin- Đàm Thoại 2 Chiều- Wifi Trong Nhà Chính Hãng,1.299.000 ₫,3,3.0,50%off,3.0,(1),3.0,19 Đã bán,Đà Nẵng
3,https://www.lazada.vn/products/tuy-chon-the-nho-128gb-camera-ip-yoosee-wifi-xoay-360-do-ban-dem-co-mau-quan-sat-ro-ngay-va-dem-full-hd-1080p-30mpx-bao-dong-chong-trom-chinh-hang-camera-i1257565730.html,"(Tùy Chọn Thẻ Nhớ 128GB) Camera IP YooSee WIFI Xoay 360 Độ, Ban Đêm Có Màu Quan Sát Rõ Ngày Và Đêm FULL HD 1080p 3.0mpx Báo Động Chống Trộm - Chính Hãng camera",211.000 ₫,4,4.0,47%off,4.0,(567),4.0,"3,148 Đã bán",Bắc Ninh
4,https://www.lazada.vn/products/camera-wifi-khong-day-ngoai-troicammera-360-do-ket-noi-dtcamera-ip-ket-noi-internetdam-thoai-2-chieucanh-bao-chuyen-dongbao-hanh-1-nam-i2201082610.html,"Camera wifi không dây ngoài trời,cammera 360 độ kết nối đt,Camera IP kết nối Internet,đàm thoại 2 chiều,cảnh báo chuyển động,bảo hành 1 năm",189.880 ₫,5,5.0,37%off,5.0,(4),5.0,5 Đã bán,Hà Nội
5,https://www.lazada.vn/products/doomhot-camera-mat-ca-camera-ip-toan-canh-360-khong-day-wifi-giam-sat-camera-quan-sat-ung-dung-1080p-hd-3d-vr-wi-fi-camera-an-ninh-ufo-co-micro-quan-sat-ban-dem-am-thanh-i2050790061.html,DoomHot Camera Mắt Cá Camera IP Toàn Cảnh 360 ° Không Dây WiFi Giám Sát Camera Quan Sát Ứng Dụng 1080P HD 3D VR WI-FI Camera An Ninh UFO Có Micrô Quan Sát Ban Đêm Âm Thanh,386.000 ₫,6,6.0,52%off,6.0,(10),6.0,38 Đã bán,Nước ngoài
6,https://www.lazada.vn/products/camera-mo-hinh-chong-trom-camere-gia-mo-phong-co-den-bao-tang-kem-doi-pin-aa-i2197970907.html,Camera Mô Hình Chống Trộm Camere Giả Mô Phỏng Có Đèn Báo Tặng Kèm Đôi Pin AA,35.549 ₫,7,,,,,,,Hà Nội
7,https://www.lazada.vn/products/camera-hanh-trinh-kep-2-cam-truoc-va-sau-do-phan-giai-fullhd-1080p-i2220669765.html,Camera hành trình kép 2 cam trước và sau độ phân giải FullHD 1080p,519.000 ₫,8,,,,,,,Hà Nội
8,https://www.lazada.vn/products/camera-hanh-trinh-360-dash-cam-hk30-cho-o-to-do-phan-giai-1080p-i2214518654.html,"Camera hành trình 360 Dash Cam HK30 cho ô tô, Độ phân giải 1080P",1.350.000 ₫,9,,,,,,,Hải Dương
9,https://www.lazada.vn/products/camera-gia-dang-tron-mo-hinh-11-camera-chong-trom-co-led-canh-bao-dt-12-tang-kem-pin-aa-i2198585348.html,Camera Giả Dáng Tròn Mô Hình 1:1 Camera Chống Trộm Có LED Cảnh Báo DT-12 tặng kèm pin AA.,31.753 ₫,10,,,,,,,Hà Nội
10,https://www.lazada.vn/products/camera-wifi-imou-c22sp-20mp-dam-thoai-2-chieu-chinh-hang-fullbox-100-i2095482840.html,"Camera Wifi Imou C22SP 2.0MP, đàm thoại 2 chiều, Chính hãng Fullbox 100%",445.000 ₫,11,11.0,11%off,11.0,(3),11.0,16 Đã bán,Đà Nẵng
11,https://www.lazada.vn/products/camera-ngoai-troi-ptz-mini-xoay-360-chong-nuoc-yoosee-full-hd-1080p-ban-dem-tro-sang-dam-thoai-2-chieu-i1878853649.html,Camera Ngoài Trời PTZ MINI Xoay 360° Chống Nước YooSee Full HD 1080P - Ban Đêm Trợ Sáng Đàm Thoại 2 Chiều,385.000 ₫,12,12.0,31%off,12.0,(58),12.0,86 Đã bán,Hà Nội
12,https://www.lazada.vn/products/camera-wifi-imou-trong-nha-c22sp-a22ep-a42p-chinh-hang-vinago-viet-nam-phan-phoi-nguyen-seal-bao-hanh-24-thang-i2205705745.html,"Camera Wifi Imou Trong nhà C22SP, A22EP, A42P Chính hãng Vinago Việt Nam Phân phối, nguyên seal, Bảo hành 24 Tháng",439.000 ₫,13,13.0,27%off,13.0,(1),13.0,9 Đã bán,Đà Nẵng
13,https://www.lazada.vn/products/camera-ngoai-troi-yoosee-4-rau-do-phan-giai-full-hd-1920x1080p-camera-wifi-goc-rong-ban-dem-co-mau-bh-6-thang-i1939343587.html,"Camera Ngoài Trời Yoosee 4 râu, độ phân giải FULL HD 1920x1080p - Camera wifi góc rộng ban đêm có màu | BH 6 Tháng",415.864 ₫,14,14.0,21%off,14.0,(90),14.0,254 Đã bán,Hà Nội
14,https://www.lazada.vn/products/camera-yoosee-khong-rau-wifi-8-led-fhd-1080p-50m-ban-dem-co-mau-sieu-net-xoay-360-do-dam-thoai-2-chieu-canh-bao-chuyen-dong-i2110682509.html,"Camera Yoosee không râu wifi 8 LED FHD 1080p 5.0M, Ban đêm có màu, Siêu nét Xoay 360 độ đàm thoại 2 chiều cảnh báo chuyển động",235.787 ₫,15,15.0,48%off,15.0,(89),15.0,136 Đã bán,Hà Nội
15,https://www.lazada.vn/products/hcmcamera-yoosee-ptz-4-rau-1415-led-xoay-360-do-chong-nuoc-xoay-360-quay-dem-co-mau-hinh-anh-ro-net-i1345384704.html,[HCM]CAMERA YOOSEE PTZ 4 RÂU 14/15 LED XOAY 360 ĐỘ - CHỐNG NƯỚC XOAY 360 - QUAY ĐÊM CÓ MÀU - HÌNH ẢNH RÕ NÉT,424.000 ₫,16,16.0,35%off,16.0,(231),16.0,"1,023 Đã bán",Hồ Chí Minh
16,https://www.lazada.vn/products/doomhot-camera-ip-wifi-ngoai-troi-yoosee-ptz-16-led-d16a-camera-an-ninh-ip-khong-day-camera-ghi-hinh-phat-hien-di-dong-den-chieu-sang-ban-dem-du-mau-camera-hd-1080p-sieu-giam-sat-chong-nuoc-xoay-360-dam-thoai-2-chieu-bao-dong-tu-xa-i1994223975.html,DoomHot Camera IP WIFI Ngoài Trời YOOSEE PTZ-16 LED ( D16A ) Camera An Ninh IP Không Dây Camera Ghi Hình Phát Hiện Di Động Đèn Chiếu Sáng Ban Đêm Đủ Màu Camera HD 1080P Siêu Giám Sát chống nước xoay 360 đàm thoại 2 chiều báo động từ xa,452.000 ₫,17,17.0,54%off,17.0,(4),17.0,6 Đã bán,Nước ngoài
17,https://www.lazada.vn/products/hang-xin-freeship-camera-ngoai-troi-yoosee-ptz-20led-loai-lon-xoay-360-sieu-net-50mpx-full-hd-dam-thoai-2-chieu-loa-sieu-to-ban-dem-co-mau-i2077633910.html,[HÀNG XIN - FREESHIP] Camera Ngoài Trời YooSee PTZ 20led LOẠI LỚN Xoay 360° Siêu Nét 5.0MPX Full HD - Đàm Thoại 2 chiều LOA Siêu To- Ban Đêm Có Màu,486.371 ₫,18,18.0,35%off,18.0,(9),18.0,44 Đã bán,Hà Nội
18,https://www.lazada.vn/products/camera-ip-wifi-ptz-yoosee-mini-16-led-chong-nuoc-xoay-360-do-quay-dem-co-mau-i1389588485.html,CAMERA IP WIFI PTZ YOOSEE MINI 16 LED - Chống nước Xoay 360 độ - Quay đêm có màu,320.000 ₫,19,19.0,47%off,19.0,(37),19.0,199 Đã bán,Hồ Chí Minh
19,https://www.lazada.vn/products/camera-yoosee-ptz-4-rau-15-led-50mps-chong-nuoc-xoay-360-quay-dem-co-mau-hinh-anh-ro-net-i1616155704.html,CAMERA YOOSEE PTZ 4 RÂU 15 LED 5.0Mps - CHỐNG NƯỚC XOAY 360 - QUAY ĐÊM CÓ MÀU - HÌNH ẢNH RÕ NÉT,425.000 ₫,20,20.0,39%off,20.0,(41),20.0,196 Đã bán,Hồ Chí Minh
20,https://www.lazada.vn/products/tang-kem-the-nho-32gb-camera-mini-ket-noi-dien-thoai-camera-360-do-mini-camera-an-ninh-gia-dinh-camera-wifi-khong-day-mini-sieu-nho-ket-noi-dien-thoai-tu-xa-co-hong-ngoai-quay-ban-dem-ip-hd-1080p-gia-re-i1913611621.html,"[Tặng kèm thẻ nhớ 32GB] Camera mini kết nối điện thoại, camera 360 độ mini, camera an ninh gia đình, camera wifi không dây mini siêu nhỏ kết nối điện thoại từ xa, có hồng ngoại quay ban đêm IP HD 1080P, giá rẻ..",263.933 ₫,21,21.0,47%off,21.0,(15),21.0,41 Đã bán,Hà Nội
21,https://www.lazada.vn/products/camera-ip-wifi-khong-day-a9-hd-camera-sieu-nho-wifi-v380-pro-fullhd-1080p-da-nang-hong-ngoai-quay-ban-dem-hinh-anh-sac-net-ca-ngay-va-dem-sieu-ben-ket-noi-wifi-qua-dien-thoai-i2041161143.html,"Camera IP Wifi Không Dây A9 HD - Camera Siêu Nhỏ Wifi V380 Pro FULLHD 1080P Đa Năng- Hồng Ngoại Quay Ban Đêm, Hình Ảnh Sắc Nét Cả Ngày Và Đêm, Siêu Bền- Kết Nối Wifi Qua Điện Thoại",196.815 ₫,22,22.0,34%off,22.0,(7),22.0,14 Đã bán,Hà Nội
22,https://www.lazada.vn/products/camera-giam-sat-yoosee-3-rau-co-den-chieu-sang-quay-dem-co-mau-khi-bat-den-led-chieu-sang-i1621931378.html,CAMERA GIÁM SÁT YOOSEE 3 RÂU CÓ ĐÈN CHIẾU SÁNG - QUAY ĐÊM CÓ MÀU KHI BẬT ĐÈN LED CHIẾU SÁNG,239.000 ₫,23,23.0,40%off,23.0,(90),23.0,384 Đã bán,Hồ Chí Minh
23,https://www.lazada.vn/products/combo-tuy-chon-the-nho-128gb64gb32gb-camera-ip-wifi-yoosee-3-rau-xoay-360-do-do-phan-giai-full-hd-25mp-1920x1080p-khong-daycamera-trong-nhaluu-tru-du-lieu-ma-kem-the-gia-385k-va-khong-the-315k-i764698181.html,"( Combo Tùy Chọn Thẻ Nhớ 128GB/64GB/32GB )Camera IP Wifi Yoosee 3 Râu xoay 360 độ, độ phân giải FULL HD 2.5MP 1920x1080p Không Dây,Camera trong nhà,lưu trữ dữ liệu (MÃ KÈM THẺ GIÁ 385K VÀ KHÔNG THẺ 315K)",219.000 ₫,24,24.0,45%off,24.0,(711),24.0,"3,192 Đã bán",Bắc Ninh
