,link_item,title,price,index_id,discount_idx,discount_percent,starsReview_idx,stars_review,soldProduct_idx,sold_product,location,brand_name
0,https://www.lazada.vn/products/llsee-icsee-camera-ip-4k-8mp-voi-camera-quan-sat-an-ninh-wifi-thu-phong-8x-quan-sat-ban-dem-mini-giam-sat-ngoai-troi-day-mau-sac-i2095583474.html,LLSEE Icsee Camera IP 4K 8MP Với Camera Quan Sát An Ninh WiFi Thu Phóng 8X Quan Sát Ban Đêm Mini Giám Sát Ngoài Trời Đầy Màu Sắc,899.999 ₫,1,1.0,9%off,1.0,(5),1.0,23 Đã bán,Nước ngoài,OEM
1,https://www.lazada.vn/products/hcm-camera-ngoai-troi-xoay-360-do-camera-khong-day-camera-yoosee-camera-ip-wifi-yoosee-4-rau-xoay-360-do-do-phan-giai-full-hd-5mp-1920x1080p-khong-day-top-camera-i1987892422.html,"[HCM] Camera Ngoài Trời Xoay 360 Độ Camera Không Dây , Camera Yoosee , Camera IP Wifi Yoosee 4 Râu xoay 360 độ, độ phân giải FULL HD 5MP 1920x1080p Không Dây- TOP CAMERA",579.000 ₫,2,2.0,17%off,2.0,(29),2.0,148 Đã bán,Hồ Chí Minh,YooSee
2,https://www.lazada.vn/products/hang-co-san-camera-giam-sat-bong-den-led-a6-e27-hong-ngoai-quan-sat-ban-dem-dien-thoai-gia-dinh-tu-xa-toan-canh-thong-minh-hd-4x-man-hinh-an-ninh-trong-nha-video-thu-phong-ky-thuat-so-i1972282727.html,Hàng Có Sẵn Camera Giám Sát Bóng Đèn LED A6 E27 Hồng Ngoại Quan Sát Ban Đêm Điện Thoại Gia Đình Từ Xa Toàn Cảnh Thông Minh Hd 4x Màn Hình An Ninh Trong Nhà Video Thu Phóng Kỹ Thuật Số,212.000 ₫,3,3.0,35%off,3.0,(16),3.0,54 Đã bán,Nước ngoài,Nanan
3,https://www.lazada.vn/products/camera-yoosee-ngoai-troi-50-mpx-ptz-20-led-coi-hu-ban-dem-co-mau-dam-thoai-2-chieu-xoay-top-camera-i2004836862.html,"Camera yoosee ngoài trời 5.0 Mpx PTZ 20 Led còi hú, ban đêm có màu, đàm thoại 2 chiều, xoay- TOP CAMERA",698.000 ₫,4,4.0,41%off,4.0,(162),4.0,445 Đã bán,Hồ Chí Minh,YooSee
4,https://www.lazada.vn/products/hcm-camera-ip-wifi-yoosee-8-led-xoay-360-do-20mp-1080p-hk211-xai-dui-bong-den-dong-220v-top-camera-i1987369929.html,[HCM] Camera IP Wifi Yoosee 8 Led Xoay 360 Độ 2.0Mp - 1080P HK211 - Xài Đui Bóng Đèn dòng 220V- TOP CAMERA,579.000 ₫,5,5.0,17%off,5.0,(67),5.0,181 Đã bán,Hồ Chí Minh,No Brand
5,https://www.lazada.vn/products/gia-sap-san-tang-the-nho-camera-yoosee-64gb-camera-ip-wifi-hisee-giam-sat-an-ninh-gia-dinh-new-2022-quay-dem-co-mau-xoay-360-do-theo-doi-doi-tuong-chong-nuoc-ip66-bao-hanh-24-thang-i1994741078.html,[ GIÁ SẬP SÀN - TẶNG THẺ NHỚ CAMERA YOOSEE 64GB ] CAMERA IP WIFI HiSEE GIÁM SÁT AN NINH GIA ĐÌNH New 2022 - QUAY ĐÊM CÓ MÀU - XOAY 360 ĐỘ - THEO DỖI ĐỐI TƯỢNG - CHỐNG NƯỚC IP66 - BẢO HÀNH 24 THÁNG.,699.000 ₫,6,6.0,36%off,6.0,(54),6.0,218 Đã bán,Hà Nội,OEM
6,https://www.lazada.vn/products/hcm-camera-ngoai-troi-yoosee-50-mpx-ptz-16-36-led-quay-dem-co-mau-xoay-360-full-hd-sieu-net-top-camera-i1987804741.html,[HCM] Camera Ngoài Trời YooSee 5.0 Mpx PTZ 16 / 36 LED - QUAY ĐÊM CÓ MÀU - Xoay 360 Full HD Siêu Nét- TOP CAMERA,623.000 ₫,7,7.0,37%off,7.0,(183),7.0,546 Đã bán,Hồ Chí Minh,YooSee
7,https://www.lazada.vn/products/hang-moi-camera-yoosee-50-loa-sieu-to-20-led-sieu-net-hang-loai-tot-chong-nuoc-tuyet-doi-dam-thoai-2-chieu-bao-hanh-12-thang-i1885982246.html,( HÀNG MỚI ) CAMERA YOOSEE 5.0 LOA SIÊU TO 20 LED SIÊU NÉT ( HÀNG LOẠI TỐT ) CHỐNG NƯỚC TUYỆT ĐỐI - ĐÀM THOẠI 2 CHIỀU - BẢO HÀNH 12 THÁNG,1.800 ₫,8,8.0,10%off,8.0,(263),8.0,"3,781 Đã bán",Lạng Sơn,YooSee
8,https://www.lazada.vn/products/bo-kit-4-camera-2m-ip-wifi-hikvision-nk42w0h-d-h265-bullet-khong-day-co-day-2mp-bh-24th-i1881943471.html,BỘ KIT 4 CAMERA 2M IP WIFI Hikvision NK42W0H (D) / H265+ / Bullet ( KHÔNG DÂY/ CÓ DÂY) 2MP BH 24TH,3.299.000 ₫,9,,,,,,,Hà Nội,No Brand
9,https://www.lazada.vn/products/camera-yoosee-4g-moi-nhat-50mpx-2560x1440p-sieu-net-goc-rong-xoay-360-do-chong-nuoc-tuyet-doi-bao-hanh-12-thang-i2073296633.html,CAMERA YOOSEE 4G MỚI NHẤT 5.0Mpx ( 2560X1440P ) SIÊU NÉT GÓC RỘNG - XOAY 360 ĐỘ - CHỐNG NƯỚC TUYỆT ĐỐI - BẢO HÀNH 12 THÁNG,599.000 ₫,10,10.0,40%off,10.0,(53),10.0,"1,438 Đã bán",Lạng Sơn,YooSee
