,shop_id,shop_name,rating_bad,rating_good,rating_normal,rating_star,place,create_time
0,55564549,tronghoa250295,728,26314,948,4.755952,"Quận Gò Vấp, TP. Hồ Chí Minh",1517849618
1,816505872,fnkvision_2,82,4458,159,4.77698,"Quận Bình Tân, TP. Hồ Chí Minh",1657620239
2,816505872,fnkvision_2,82,4458,159,4.77698,"Quận Bình Tân, TP. Hồ Chí Minh",1657620239
3,816490879,fnkvision_1,34,2287,80,4.787707,"Quận Bình Tân, TP. Hồ Chí Minh",1657618567
4,816505872,fnkvision_2,82,4458,159,4.77698,"Quận Bình Tân, TP. Hồ Chí Minh",1657620239
5,17614607,mei1810,60,1948,85,4.731634,"Quận Bình Tân, TP. Hồ Chí Minh",1488773100
6,902638815,loey1.vn,19,39,10,3.41791,,1668497507
7,11279821,camerayoosee,1680,58206,2125,4.752559,"Quận Hà Đông, Hà Nội",1476941908
8,190753408,tongkhocongngheso.top1,109,16146,246,4.906938,"Quận Cầu Giấy, Hà Nội",1571742769
9,887216384,living.comfort.store.vn,3,66,4,4.638889,,1666322634
10,24625047,tplink_officialstore,240,26758,483,4.892177,"Quận Tân Phú, TP. Hồ Chí Minh",1496802869
11,633248085,giadinhstore6868,46,5248,73,4.879681,"Quận Hoàng Mai, Hà Nội",1640168195
12,48332059,jncamerashop,24,1279,41,4.791667,"Quận Đống Đa, Hà Nội",1513354864
13,156707818,si24h,382,13025,457,4.753356,"Huyện Hóc Môn, TP. Hồ Chí Minh",1561012199
14,634754185,senniko_official_store_vietnam,175,6908,218,4.769756,"Quận Nam Từ Liêm, Hà Nội",1640312832
15,1754914,shopeevn,9227,728116,6365,4.921732,"Quận 3, TP. Hồ Chí Minh",1447741280
16,21078602,trumcongnghe,268,17752,368,4.847441,"Quận Ngô Quyền, Hải Phòng",1493179370
17,11514252,thegioiaudio.ontekco,887,23329,918,4.681337,"Huyện Thanh Trì, Hà Nội",1477456368
18,154130071,phukienotogiatot,63,3830,109,4.810572,"Quận Bắc Từ Liêm, Hà Nội",1560049524
19,780073103,saigonhometech,31,4505,46,4.892776,"Quận Tân Bình, TP. Hồ Chí Minh",1653531522
20,19576196,ontek_dashcam,86,2710,112,4.732799,"Huyện Thanh Trì, Hà Nội",1491226775
21,746276855,shopdoxeoto,4,447,20,4.812766,"Huyện Thanh Oai, Hà Nội",1649816599
22,646662818,officialstore70mai,40,6096,65,4.910938,"Quận Bình Tân, TP. Hồ Chí Minh",1641376519
23,679380758,thieugiashop8888,4,908,18,4.903654,"Quận Long Biên, Hà Nội",1644150605
24,13101724,2techstorevn,62,903,60,4.558794,"Huyện Thanh Trì, Hà Nội",1480512682
25,646662818,officialstore70mai,40,6096,65,4.910938,"Quận Bình Tân, TP. Hồ Chí Minh",1641376519
26,759356478,sagetechnology.vn,37,819,45,4.631458,,1651136683
27,251967117,phukienotocarstore98,33,2960,85,4.841571,"Quận Bắc Từ Liêm, Hà Nội",1587352684
28,17917892,tcar.pro,23,2574,52,4.869919,"Quận Hải An, Hải Phòng",1489135076
29,489946605,giadungbeesmart,25,2828,36,4.880123,"Quận Hà Đông, Hà Nội",1626317203
30,53355040,tueminhcar,22,3400,43,4.90625,"Quận Long Biên, Hà Nội",1516529218
31,780073103,saigonhometech,31,4505,46,4.892776,"Quận Tân Bình, TP. Hồ Chí Minh",1653531522
32,21078602,trumcongnghe,268,17752,368,4.847441,"Quận Ngô Quyền, Hải Phòng",1493179370
33,251967117,phukienotocarstore98,33,2960,85,4.841571,"Quận Bắc Từ Liêm, Hà Nội",1587352684
34,646662818,officialstore70mai,40,6096,65,4.910938,"Quận Bình Tân, TP. Hồ Chí Minh",1641376519
35,17917892,tcar.pro,23,2574,52,4.869919,"Quận Hải An, Hải Phòng",1489135076
36,53355040,tueminhcar,22,3400,43,4.90625,"Quận Long Biên, Hà Nội",1516529218
37,143589212,beckyliu.vn,19,516,35,4.667851,,1556619234
38,299252,cuahangtcs,2744,214339,5422,4.843861,"Quận Hoàng Mai, Hà Nội",1439005294
39,401485839,phu_kien_oto_gia_si,107,7647,194,4.847517,"Thành Phố Thái Bình, Thái Bình",1615480942
40,759356478,sagetechnology.vn,37,819,45,4.631458,,1651136683
41,99552004,hainam_auto,86,4759,125,4.826247,"Quận Hà Đông, Hà Nội",1540791415
42,173997513,thienvuongshop87,29,735,32,4.697051,"Quận Bắc Từ Liêm, Hà Nội",1567054253
43,408921219,giadunghoanhao81,49,2707,60,4.828535,"Quận Bình Tân, TP. Hồ Chí Minh",1616488913
44,206468529,autotop1.vn,10,326,11,4.755814,,1575622313
45,706374110,ontekco.haiduong,4,326,6,4.848249,"Huyện Thanh Hà, Hải Dương",1646376364
46,14012700,rita_official,2,445,6,4.924107,"Quận Phú Nhuận, TP. Hồ Chí Minh",1482131719
47,73436667,autocap.top,5,1001,14,4.91269,"Quận Nam Từ Liêm, Hà Nội",1528263235
