,id,sku,short_description,price,list_price,discount,discount_rate,review_count,quantity_sold,cs_id,cs_name,stock_item,inventory_status,product_name,brand_id,brand_name,location
0,242618146,7561995270988,"Lưu ý: Nhiều trường hợp do dùng thẻ nhớ không chính hãng nên camera không nhận thẻ nhớ, trong trường hợp đó shop không hỗ trợ lỗi đọc thẻ nhớ. Để được hỗ trợ tốt nhất hãy mua kèm thẻ nhớ của shop.- K...",669000,900000,231000,26,103,502,222073,TRANGIATELECOM,1000,available,Camera IMOU wifi A22EP 1080P 2M xoay 360 độ đàm thoại 2 chiều - Hàng chính hãng,416097,IMOU,Trong nước
1,41319582,6953422443341,"Phát hiện chuyển độngCamera C6N của EZVIZ được trang bị chức năng Smart IR, sử dụng công nghệ chiếu sáng hồng ngoại (IR) tiên tiến giúp thu được nhiều chi tiết hơn trong điều kiện thiếu sáng...",489000,959000,470000,49,4369,40581,1,Tiki Trading,1000,available,Camera IP Wifi Trong Nhà EZVIZ C6N 1080p - Hàng Chính Hãng,247217,EZVIZ,Trong nước
2,84866683,2786575340597,"Thiết kế nhỏ gọn, tiện lợi Camera IP Wifi Trong Nhà Ezviz Mini CS-C1C-B 1080p là sản phẩm Camera IP wifi trong nhà được thiết kế kiểu dáng hiện đại phù hợp lắp đặt nhiều vị trí trong nhà. Cọc định vị...",458000,990000,532000,54,459,2836,1,Tiki Trading,1000,available,Camera IP Wifi Trong Nhà Ezviz Mini CS-C1C-B 1080p - Hàng Chính Hãng,247217,EZVIZ,Trong nước
3,74500335,3915735137426,"Camera WiFi TP-Link Tapo C200 Giám Sát An Ninh Video Độ Nét Cao: Ghi lại mọi chi tiết ở độ phân giải 1080p rõ nét.Chế Độ Quan Sát Ban Đêm Nâng Cao: Ngay cả vào ban đêm, camera có thể nhìn thấy ...",469000,899000,430000,48,2756,12607,154163,TP-Link Official Store,1000,available,Camera IP Wifi TP-Link Tapo C200 Full HD 1080P Giám sát An Ninh - Hàng Chính Hãng,27464,TP-Link,Trong nước
4,170490830,3018473667541,Trò chuyện bất cứ lúc nàoCamera IP Wifi Trong Nhà EZVIZ TY1 1080p  giúp bạn trò chuyện với những người thân yêu của bạn và ngăn chặn những người lạ không được chào đón - tất cả đều bằng cách sử dụng ...,538000,959000,421000,44,42,357,1,Tiki Trading,1000,available,Camera IP Wifi Trong Nhà EZVIZ TY1 1080p - Hàng chính hãng,247217,EZVIZ,Trong nước
5,102806988,2855664249373,"  Góc nhìn siêu rộng 360 độ, chỉ 01 camera xem được mọi góc của căn phòng   Chất lượng camera HD rõ đẹp   Đàm thoại 2 chiều rõ ràng từ xa   Đèn led sáng rõ với chế độ mở cảm biến tự động   ------...",370500,390000,19500,5,22,113,265319,Shop Phân Phối Camera,1000,available,Camera YOOSEE WIFI Tích Hợp Bóng Đèn Led Sáng Quan Sát Toàn Cảnh 360° Không Có Góc Khuất Kèm Thẻ Nhớ 64GB CHÍNH HÃNG,111625,Yoosee,Trong nước
6,46462092,2933386732563,"Chất lượng hình ảnhCamera EZVIZ CS-C6N-A0-1C2WFR (C6N 1080P) có độ phân giải Full HD ( 1920x1080 ) nên hình ảnh được ghi rất rõ nét, chất lượng hình ảnh được đánh giá cao. Thiết bị được tích hợp tính...",489000,959000,470000,49,411,5678,1,Tiki Trading,1000,available,Camera IP Wifi Trong Nhà EZVIZ C6N 1080p (CS-C6N) - Hàng Chính Hãng,247217,EZVIZ,Trong nước
7,162227436,9753808374178,Camera WiFi quay & quét thông minhCamera IP Wifi Deli Full HD 1080P ES102 dễ dàng quan sát 360 độ toàn bộ không gian của bạn cùng tính năng theo dõi thông minh. Bảo vệ cho bạn - cả ngày lẫn đêm....,299000,898200,599200,67,211,804,113115,Deli Official Store,1000,available,"Camera IP Wifi Deli Full HD 1080P 360 Độ Đàm Thoại 2 Chiều - An Ninh Gia Đình, Văn Phòng - Hàng Chính Hãng - ES102",46703,Deli,Trong nước
8,101349749,3789506142945,– Góc quay 150 độ cực kì rộng giúp bạn có những góc nhìn rõ ràng và bao quát nhất.– Hỗ trợ thẻ nhớ tối đa 128GB giúp bạn hoàn toàn có thể lưu trữ được thông tin lên tới 15 ngày liên tục và đầy thẻ nh...,300000,300000,0,0,73,358,188895,CameraMini,1000,available,"Camera mini siêu nhỏ giám sát A9 FullHD 1080p IP wifi kết nối với điện thoại, có pin",111461,OEM,Trong nước
9,117076592,2528257105031,Camera WiFi quay & quét thông minhCamera IP Wifi Trong Nhà EZVIZ C6N 4MP 2K dễ dàng quan sát 360 độ toàn bộ không gian của bạn cùng tính năng theo dõi thông minh. Bảo vệ cho bạn - cả ngày lẫn đêm...,679000,1200000,521000,43,128,1028,1,Tiki Trading,1000,available,Camera IP Wifi Trong Nhà EZVIZ C6N 4MP 2K - Hàng Chính Hãng,247217,EZVIZ,Trong nước
