,id
0,242618146
1,41319582
2,84866683
3,74500335
4,170490830
5,102806988
6,46462092
7,162227436
8,101349749
9,117076592
10,242443347
11,3672421
12,127010975
13,74829862
14,205224085
15,242618602
16,116987925
17,200004710
18,56258018
19,177310642
20,170340161
21,176227854
22,242618146
23,191314222
24,23068516
25,162227436
26,173570812
27,106641569
28,161937080
29,148713428
30,75540518
31,187623126
32,242618602
33,170340161
34,183689560
35,148713428
36,97589228
37,116903572
38,138530902
39,102806988
40,103996506
41,95064446
42,170400691
43,110564348
44,170267665
45,79911353
46,145304628
47,225221667
48,192395248
49,135387436
50,170340161
51,154259057
52,103995541
53,212117226
54,86542652
55,162227436
56,72821133
57,140917011
58,75664666
59,21742830
60,154259057
61,57071523
62,169502518
63,199972877
64,107356974
65,103996506
66,194131293
67,25648528
68,242618399
69,212566825
70,79911353
71,173740207
72,75540518
73,133876927
74,32189703
75,203878766
76,111483922
77,73887824
78,205985107
79,164275402
80,102806988
81,117029736
82,103996506
83,8189174
84,70799822
85,248799881
86,191923941
87,247719507
88,170523447
89,158459811
90,132783163
91,54023404
92,59271667
93,145180531
94,248798040
95,106598819
96,25922213
97,95306002
98,127834480
99,179555815
100,41319582
101,229704422
102,204673338
103,85764360
104,250200847
105,102806988
106,79911353
107,33078123
108,58986461
109,181976961
110,242618399
111,47868431
112,106661426
113,128871329
114,242443347
115,148713428
116,171811930
117,97547691
118,44772856
119,114447811
120,26434415
121,124905464
122,113929904
123,182131081
124,124963960
125,248161058
126,208171468
127,125597580
128,114174053
129,174896487
130,208171443
131,193105103
132,50391461
133,194133335
134,73346881
135,248334169
136,101995478
137,81209881
138,44244163
139,214798796
140,37487298
141,198254342
142,21921714
143,107182831
144,132783163
145,14845231
146,209399558
147,217292399
148,195443722
149,57694501
150,106585620
151,249222753
152,72556060
153,217488917
154,142796515
155,193778046
156,221514939
157,195440388
158,77155513
159,169517340
160,110367842
161,247904096
162,197047514
163,133213695
164,201906784
165,181753658
166,185594427
167,205615562
168,34399086
169,229766303
170,198696909
171,135237041
172,147319512
173,162531091
174,10001012
175,248888250
